Element, data.x, data.y, data.z, data.w
0,-1.285201907157898,-0.1499110609292984,0.0,-0.1521933674812317
1,-0.2159937620162964,0.8939564824104309,0.0,0.9075661897659302
2,0.00019847668590955436,2.1321685314178467,0.0,-0.3913577198982239
3,0.0,0.0,10.0,0.0
4,-1.285201907157898,-0.1499110609292984,0.0,-0.1521933674812317
5,-0.2159937620162964,0.8939564824104309,0.0,0.9075661897659302
6,0.00019847668590955436,2.1321685314178467,0.0,-0.3913577198982239
7,8412.759765625,-33578.1328125,10.0,-9186.001953125
8,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
9,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
10,402.6734313964844,1499.82421875,974.3137817382812,0.10000000149011612
11,-0.15258552134037018,0.9075518846511841,-0.39123836159706116,0.0
12,-0.9862291216850281,-0.06472454965114594,-0.1521933674812317,0.0
13,-0.1653846651315689,0.3859683871269226,0.9075661897659302,0.0
14,1.4901160305669237e-08,0.9202386736869812,-0.3913577198982239,0.0
15,0.0,0.0,0.0,1.0
16,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
17,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
18,-0.1521933674812317,0.9075661897659302,-0.3913577198982239,0.0
19,0.0,0.0,0.0,1.0
20,-0.9862291216850281,-0.06472454965114594,-0.1521933674812317,0.0
21,-0.1653846651315689,0.3859683871269226,0.9075661897659302,0.0
22,1.4901160305669237e-08,0.9202386736869812,-0.3913577198982239,0.0
23,0.0,0.0,0.0,1.0
24,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
25,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
26,-0.1521933674812317,0.9075661897659302,-0.3913577198982239,0.0
27,0.0,0.0,0.0,1.0
28,1.3032256364822388,0.0,0.0,0.0
29,0.0,2.316845655441284,0.0,0.0
30,-0.0005070993793196976,-0.0003004807804245502,0.0,1.0
31,0.0,0.0,10.0,0.0
32,1.3032256364822388,0.0,0.0,0.0
33,0.0,2.316845655441284,0.0,0.0
34,0.0,0.0,0.0,1.0
35,0.0,0.0,10.0,0.0
36,0.767326831817627,0.0,0.0,0.0
37,0.0,0.43162134289741516,0.0,0.0
38,0.0,0.0,0.0,0.10000000149011612
39,0.0003891109663527459,0.0001296939153689891,1.0,-0.0
40,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
41,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
42,0.0,0.0,0.0,0.10000000149011612
43,-0.15258552134037018,0.9075518846511841,-0.39123836159706116,0.0
44,-0.0010233401553705335,-0.00017160795687232167,1.5461878305478294e-11,0.0
45,6.715504423482344e-05,-0.0004004620132036507,-0.0009547948720864952,0.0
46,0.0,0.0,0.0,0.10000000149011612
47,0.5762380361557007,1.2010481357574463,0.005956292152404785,0.0
48,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
49,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
50,-0.15258552134037018,0.9075518846511841,-0.39123836159706116,0.0
51,4026.734375,14998.2421875,9743.1376953125,1.0
52,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
53,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
54,-0.15258552134037018,0.9075518846511841,-0.39123836159706116,0.0
55,0.0,0.0,0.0,1.0
56,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
57,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
58,-0.15258552134037018,0.9075518846511841,-0.39123836159706116,0.0
59,4026.734375,14998.2421875,9743.1376953125,1.0
60,-0.1521933674812317,0.9075661897659302,-0.3913577198982239,0.0
61,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
62,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
63,-0.06472454965114594,0.3859683871269226,0.9202386736869812,0.0
64,-0.9862291216850281,-0.1653846651315689,1.4901160305669237e-08,0.0
65,0.0,0.0,0.10000000149011612,-9.99999993922529e-09
66,0.4996621608734131,-0.5,0.5,0.4996621608734131
67,4026.734375,14998.2421875,9743.1376953125,0.0
68,0.0,0.0,0.0,0.0
69,4026.734375,14998.2421875,9743.1376953125,0.0
70,-4026.734375,-14998.2421875,-9743.1376953125,0.0
71,1.3032256364822388,0.0,0.0,0.0
72,0.0,2.316845655441284,0.0,0.0
73,0.0001690331264398992,-0.000901442370377481,0.0,1.0
74,0.0,0.0,10.0,0.0
75,-1.2853047847747803,-0.14981959760189056,0.0,-0.1521933674812317
76,-0.21538013219833374,0.8934110403060913,0.0,0.9075661897659302
77,-6.61329977447167e-05,2.13240385055542,0.0,-0.3913577198982239
78,8406.548828125,-33572.61328125,10.0,-9186.001953125
79,-1.2853047847747803,-0.14981959760189056,0.0,-0.1521933674812317
80,-0.21538013219833374,0.8934110403060913,0.0,0.9075661897659302
81,-6.61329977447167e-05,2.13240385055542,0.0,-0.3913577198982239
82,0.0,0.0,10.0,0.0
83,1.3032256364822388,0.0,0.0,0.0
84,0.0,2.316845655441284,0.0,0.0
85,0.0001690331264398992,-0.000901442370377481,0.0,1.0
86,0.0,0.0,10.0,0.0
87,0.767326831817627,0.0,0.0,0.0
88,0.0,0.43162134289741516,0.0,0.0
89,0.0,0.0,0.0,0.10000000149011612
90,-0.0001297036506002769,0.00038908174610696733,1.0,-0.0
91,-0.7567600607872009,-0.12690408527851105,1.143405992110047e-08,0.0
92,-0.027936497703194618,0.16659219563007355,0.39719465374946594,0.0
