Element, data.x, data.y, data.z, data.w
0,0.5,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0
2,-0.0008954902878031135,-0.00040243854164145887,0.0014793388545513153,0.0
3,0.18129730224609375,0.17697715759277344,0.337493896484375,1.0
4,0.0,0.0,0.25,0.25
5,2048.0,2048.0,0.00048828125,0.00048828125
6,1.0,59.999996185302734,121.23533630371094,1.0
7,0.00033783784601837397,0.0006009615608491004,0.9989864826202393,0.9993990659713745
8,1480.0,832.0,0.9777371883392334,3.9077377319335938
9,-1.0,0.0,-0.1513327956199646,12.570226669311523
10,100000.0,0.5,0.0,0.0
11,-1.0,0.0,0.9794774651527405,4.447502136230469
12,-1.0,0.0,-0.12134191393852234,9.968711853027344
13,0.0,0.0,2.0725204287364044e-42,1.1658803223182478e-42
14,-1.0,0.0,0.9799708127975464,4.216453552246094
15,-1.0,0.0,0.01075268816202879,0.01923076994717121
